first_prot,Gene names,Protein names,Peptides,Potential contaminant,Razor unique peptides,Unique peptides,Molweight kDa,Score,Qvalue,Sequence coverage,MSMS Count,Protein IDs,Majority protein Ids
Q9BQ61,C19orf43,Uncharacterized protein C19orf43,9,,9,9,18.419,49.134,0.0,44.3,198,Q9BQ61;K7ELS0;K7ERU7;K7EN60,Q9BQ61;K7ELS0;K7ERU7;K7EN60
Q8N9M1,C19orf47,Uncharacterized protein C19orf47,4,,4,4,44.746,3.7997,0.00025743,13.3,13,Q8N9M1;Q8N9M1-3;Q8N9M1-2;J3QS80;J3QKZ5,Q8N9M1;Q8N9M1-3;Q8N9M1-2;J3QS80
Q9BSF4,C19orf52,Uncharacterized protein C19orf52,7,,7,7,29.233,16.048,0.0,26.2,49,Q9BSF4;K7ENF5,Q9BSF4
Q9UNZ5,C19orf53,Leydig cell tumor 10 kDa protein homolog,5,,5,5,10.576,4.4585,0.00013305,25.3,51,Q9UNZ5;K7ESE5;A0A0A0MQS3,Q9UNZ5
Q5BKX5,C19orf54,UPF0692 protein C19orf54,3,,3,3,37.778,3.9242,0.00012952,9.7,5,Q5BKX5;Q5BKX5-3;Q6ZWG5,Q5BKX5;Q5BKX5-3
Q9NUL5,C19orf66,UPF0515 protein C19orf66,10,,10,10,33.11,25.503,0.0,36.1,48,Q9NUL5;Q9NUL5-3;Q9NUL5-2;Q9NUL5-4;K7EML3;K7EMS9,Q9NUL5;Q9NUL5-3;Q9NUL5-2;Q9NUL5-4
A0A087WWL5,C19orf68,Uncharacterized protein C19orf68,3,,3,3,101.68,1.8465,0.0056909,4.1,4,A0A087WWL5;Q86XI8,A0A087WWL5;Q86XI8
Q6ZSJ8,C1orf122,Uncharacterized protein C1orf122,5,,5,5,11.471,15.101,0.0,62.7,46,Q6ZSJ8;Q6ZSJ8-2,Q6ZSJ8
Q9NWV4,C1orf123,UPF0587 protein C1orf123,11,,11,11,18.048,113.89,0.0,81.2,217,Q9NWV4,Q9NWV4
Q8NDD1,C1orf131,Uncharacterized protein C1orf131,2,,2,2,32.766,6.1611,0.0,12.2,8,Q8NDD1;Q5TBI2;Q8NDD1-3;Q8NDD1-2;Q5TBH9;Q8NDD1-4,Q8NDD1;Q5TBI2;Q8NDD1-3;Q8NDD1-2;Q5TBH9;Q8NDD1-4
Q8IYL3,C1orf174,UPF0688 protein C1orf174,3,,3,3,25.977,30.939,0.0,17.3,51,Q8IYL3,Q8IYL3
Q9H425,C1orf198,Uncharacterized protein C1orf198,14,,14,2,36.346,59.029,0.0,57.8,124,Q9H425;Q9H425-2;E5RFY9;E5RI90,Q9H425;Q9H425-2
Q9H246,C1orf21,Uncharacterized protein C1orf21,1,,1,1,13.865,2.1161,0.003019,10.7,1,Q9H246,Q9H246
A1L170,C1orf226,Uncharacterized protein C1orf226,5,,5,4,29.057,17.887,0.0,31.6,10,A1L170;A1L170-2;F8W6W0,A1L170;A1L170-2;F8W6W0
Q9BV19,C1orf50,Uncharacterized protein C1orf50,5,,5,5,21.876,9.4655,0.0,43.7,9,Q9BV19;R4GMT4;B4DSR2,Q9BV19
Q8N6N3,C1orf52,UPF0690 protein C1orf52,1,,1,1,20.599,4.1044,0.00013089,7.7,14,Q8N6N3;Q8N6N3-3;Q8N6N3-2,Q8N6N3;Q8N6N3-3;Q8N6N3-2
F8WD64,C1orf95,Protein stum homolog,1,,1,1,14.968,5.7312,0.0,12.1,3,F8WD64;Q69YW2,F8WD64;Q69YW2
P02745,C1QA,Complement C1q subcomponent subunit A,4,,4,4,26.016,8.64,0.0,9.4,55,P02745;X6RLJ0,P02745;X6RLJ0
P02746,C1QB,Complement C1q subcomponent subunit B,9,,9,9,26.721,85.881,0.0,37.9,243,P02746;D6R934;A0A0A0MSV6;D6RGJ1,P02746;D6R934;A0A0A0MSV6
Q07021,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",10,,10,10,31.362,213.97,0.0,61.0,345,Q07021;I3L3Q7;I3L3B0,Q07021;I3L3Q7;I3L3B0
P02747,C1QC,Complement C1q subcomponent subunit C,6,,6,6,25.773,35.295,0.0,26.9,196,P02747,P02747
Q86Z23,C1QL4,Complement C1q-like protein 4,1,,1,1,24.909,7.7314,0.0,7.6,2,Q86Z23,Q86Z23
Q9BXJ4-3,C1QTNF3;C1QTNF3-AMACR,Complement C1q tumor necrosis factor-related protein 3,3,,3,3,35.183,22.064,0.0,10.3,27,Q9BXJ4-3;Q9BXJ4;E9PGA6;Q9BXJ4-2,Q9BXJ4-3;Q9BXJ4;E9PGA6;Q9BXJ4-2
Q9BXJ3,C1QTNF4,Complement C1q tumor necrosis factor-related protein 4,4,,4,4,35.256,5.5833,0.0,17.0,3,Q9BXJ3;E9PPZ5,Q9BXJ3;E9PPZ5
Q9BXJ0,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,4,,4,4,25.298,6.8999,0.0,19.8,12,Q9BXJ0,Q9BXJ0
P00736,C1R,Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain,30,,30,29,80.118,163.64,0.0,46.5,284,P00736;B4DPQ0;F5H2D0;F5H1V0;F5H6Y3;F5H3N3;H0YFL7,P00736;B4DPQ0;F5H2D0
Q9NZP8,C1RL,Complement C1r subcomponent-like protein,3,,2,2,53.498,4.418,0.00013273,6.4,3,Q9NZP8;F5GWF3;F5H2Z5;F5H7C8;F5H6S5,Q9NZP8;F5GWF3
P09871,C1S,Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain,24,,24,24,76.684,95.928,0.0,41.0,355,P09871;F8WCZ6;A0A087X232;H0Y5D1;F5H7T4;B5MCV4;P48740;C9JMA2;F8W876;P48740-3;P48740-4;P48740-2,P09871;F8WCZ6;A0A087X232
P06681,C2,Complement C2;Complement C2b fragment;Complement C2a fragment,27,,7,7,83.267,23.066,0.0,44.8,26,P06681;A0A0G2JL69;P06681-3;P06681-2;A0A0G2JIE7;H0Y3H6;B4DQI1;E9PDZ0;A0A0G2JK28;H0Y868;Q8N6L6,P06681;A0A0G2JL69;P06681-3;P06681-2;A0A0G2JIE7;H0Y3H6;B4DQI1;E9PDZ0
Q9BUV8,C20orf24,Uncharacterized protein C20orf24,1,,1,1,15.487,4.6152,0.0,11.7,8,Q9BUV8;Q9BUV8-4;Q9BUV8-3;Q9BUV8-2;Q9BUV8-5,Q9BUV8;Q9BUV8-4;Q9BUV8-3;Q9BUV8-2;Q9BUV8-5
Q9GZN8,C20orf27,UPF0687 protein C20orf27,7,,7,7,19.291,19.71,0.0,55.7,53,Q9GZN8;Q9GZN8-2;H7BYU9,Q9GZN8;Q9GZN8-2;H7BYU9
A0A096LPI6,C21orf33,,15,,13,0,25.64,286.82,0.0,76.9,396,A0A096LPI6;A0A096LNH5;H7C2G3;A0A096LP73;A0A096LNJ1;A0A096LP12,A0A096LPI6;A0A096LNH5;H7C2G3
P30042,C21orf33,"ES1 protein homolog, mitochondrial",15,,2,2,28.17,7.1742,0.0,78.7,3,P30042;A0A0B4J2D5;H7C1F6;A0A0B4J2H4;P30042-2;F2Z2Q0;H7BYH1,P30042;A0A0B4J2D5;H7C1F6;A0A0B4J2H4;P30042-2
P57076,C21orf59,UPF0769 protein C21orf59,6,,6,2,33.224,12.879,0.0,27.9,47,P57076;C9J818;C9JX57;D3DSE6;H7C2R6,P57076;C9J818;C9JX57;D3DSE6
Q9Y426,C2CD2,C2 domain-containing protein 2,4,,4,4,75.532,6.1632,0.0,7.8,5,Q9Y426;Q9Y426-3;Q9Y426-2,Q9Y426;Q9Y426-3;Q9Y426-2
O14523,C2CD2L,C2 domain-containing protein 2-like,6,,6,6,76.18,10.521,0.0,14.3,8,O14523;O14523-2;E9PK05,O14523;O14523-2;E9PK05
Q86YS7-3,C2CD5,C2 domain-containing protein 5,27,,27,27,116.03,89.736,0.0,32.2,152,Q86YS7-3;Q86YS7;Q86YS7-2;Q86YS7-4;Q86YS7-5;H0YFC4;H0YFE9;H0YGU7,Q86YS7-3;Q86YS7;Q86YS7-2;Q86YS7-4;Q86YS7-5
Q9H6V9,C2orf43;LDAH;FLJ21820,UPF0554 protein C2orf43,7,,7,7,37.318,10.101,0.0,22.8,30,Q9H6V9;B5MDU6;Q9H6V9-2;C9JUM0;B4DRG3;A0A0A0MSH6;Q9H6V9-3;C9JHU6;B5MCE2;B5MCU4;Q9H6V9-4;D3YTH1,Q9H6V9;B5MDU6;Q9H6V9-2;C9JUM0;B4DRG3;A0A0A0MSH6;Q9H6V9-3
Q9H6R7,C2orf44,WD repeat and coiled-coil-containing protein C2orf44,3,,3,3,79.135,2.4451,0.0014233,5.4,4,Q9H6R7;Q9H6R7-2,Q9H6R7;Q9H6R7-2
Q8WWC4,C2orf47,"Uncharacterized protein C2orf47, mitochondrial",6,,6,6,32.544,13.269,0.0,22.3,38,Q8WWC4;H7C0V0,Q8WWC4;H7C0V0
Q9BVC5,C2orf49,Ashwin,5,,5,5,25.858,12.606,0.0,33.2,19,Q9BVC5;C9J4K0;Q9BVC5-2,Q9BVC5;C9J4K0;Q9BVC5-2
Q08AI8,C2orf54,Uncharacterized protein C2orf54,6,,6,1,49.564,15.283,0.0,16.6,15,Q08AI8;Q08AI8-3;C9JP86;C9JEK0,Q08AI8;Q08AI8-3
Q8N8R5,C2orf69,UPF0565 protein C2orf69,3,,3,3,43.448,2.8151,0.00084838,10.9,5,Q8N8R5,Q8N8R5
H7BZF5,C2orf80,,1,,1,1,15.684,1.8926,0.0051417,5.8,3,H7BZF5,H7BZF5
Q9BSF0,C2orf88,Small membrane A-kinase anchor protein,2,,2,2,10.97,5.9241,0.0,26.3,12,Q9BSF0;C9JS57;H7BZ15,Q9BSF0;C9JS57;H7BZ15
P01024,C3,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,127,,127,114,187.15,323.31,0.0,80.0,4939,P01024;M0QYC8;M0QXZ3;M0R0Q9;M0R1Q1,P01024
Q6NW34,C3orf17,Uncharacterized protein C3orf17,6,,6,6,64.551,9.2177,0.0,12.0,52,Q6NW34;Q6NW34-2;E9PFF8,Q6NW34;Q6NW34-2;E9PFF8
Q5JPI3,C3orf38,Uncharacterized protein C3orf38,5,,5,5,37.54,6.1127,0.0,17.3,5,Q5JPI3;Q5JPI3-2;E9PFZ1,Q5JPI3;Q5JPI3-2
Q8NDZ4,C3orf58,Deleted in autism protein 1,6,,6,6,49.481,25.641,0.0,18.1,28,Q8NDZ4;E7ET39;C9JY09;Q8NDZ4-2,Q8NDZ4
P0C0L4,C4A,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,95,,1,1,192.78,3.4205,0.00050365,64.1,5,P0C0L4;P0C0L4-2,P0C0L4;P0C0L4-2
P0C0L5,C4B,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,95,,95,1,192.75,323.31,0.0,64.1,1906,P0C0L5;F5GXS0,P0C0L5;F5GXS0
P04003,C4BPA,C4b-binding protein alpha chain,30,,30,30,67.033,199.21,0.0,58.6,629,P04003;A6PVY5;F2Z2V7;CON__Q28065,P04003
P20851,C4BPB,C4b-binding protein beta chain,4,,4,4,28.357,5.4358,0.0,19.0,17,P20851;P20851-2;Q5VVQ7,P20851;P20851-2
Q9NWY4,C4orf27,UPF0609 protein C4orf27,10,,10,10,39.436,9.2115,0.0,33.2,25,Q9NWY4;A8MVJ9,Q9NWY4
Q8WVX3,C4orf3,Uncharacterized protein C4orf3,4,,4,4,7.6035,6.4466,0.0,37.9,20,Q8WVX3;Q8WVX3-2,Q8WVX3
P01031,C5,Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain,46,,46,43,188.3,96.301,0.0,31.7,255,P01031,P01031
P21730,C5AR1,C5a anaphylatoxin chemotactic receptor 1,2,,2,2,39.335,3.6613,0.00051007,5.4,6,P21730,P21730
Q49AR2,C5orf22,UPF0489 protein C5orf22,6,,6,6,49.967,13.417,0.0,18.1,17,Q49AR2;Q49AR2-2;Q49AR2-3;E5RFG1;B4DR92;E5RHP8,Q49AR2;Q49AR2-2
Q7Z6I8,C5orf24,UPF0461 protein C5orf24,5,,5,5,20.132,4.3869,0.0001325,30.9,21,Q7Z6I8;Q7Z6I8-2;H0YAE0,Q7Z6I8;Q7Z6I8-2
Q6NTE8,C5orf45,UPF0544 protein C5orf45,3,,3,3,37.743,6.367,0.0,12.8,9,Q6NTE8;A0A087WZ47;E5RJC6;Q6NTE8-3;E5RHY8;E5RHV0;E5RI52;B7Z1T6;Q6NTE8-2,Q6NTE8;A0A087WZ47;E5RJC6;Q6NTE8-3
A6NDU8,C5orf51,UPF0600 protein C5orf51,7,,7,7,33.62,16.42,0.0,27.9,44,A6NDU8;A0A0C4DGW6,A6NDU8;A0A0C4DGW6
P13671,C6,Complement component C6,26,,26,26,104.79,126.04,0.0,34.5,124,P13671;C9JC72,P13671
Q7Z4R8,C6orf120,UPF0669 protein C6orf120,1,,1,1,20.772,2.6526,0.0013215,14.1,1,Q7Z4R8,Q7Z4R8
Q5T0Z8,C6orf132,Uncharacterized protein C6orf132,30,,30,30,124.03,78.765,0.0,31.9,127,Q5T0Z8;Q5T0Z8-4;Q5T0Z8-2,Q5T0Z8
A0A0D9SEI0,C6orf203,Uncharacterized protein C6orf203,3,,3,3,28.457,6.0281,0.0,11.8,18,A0A0D9SEI0;Q9P0P8,A0A0D9SEI0;Q9P0P8
O95873,C6orf47,Uncharacterized protein C6orf47,4,,4,4,31.71,20.242,0.0,21.8,14,O95873,O95873
P10643,C7,Complement component C7,30,,29,29,93.517,114.34,0.0,47.1,228,P10643;CON__Q29RQ1,P10643
Q9BPX7,C7orf25,UPF0415 protein C7orf25,3,,3,3,46.45,1.9776,0.0041413,9.5,2,Q9BPX7;Q9BPX7-2,Q9BPX7;Q9BPX7-2
Q96N11,C7orf26,Uncharacterized protein C7orf26,4,,4,4,50.046,8.9609,0.0,14.9,6,Q96N11;Q96N11-2;H7C0Q5;H7BZK9,Q96N11;Q96N11-2
Q9BRJ6,C7orf50,Uncharacterized protein C7orf50,11,,11,11,22.083,58.106,0.0,54.6,119,Q9BRJ6;C9JQV0;H7C0T1;H7C2R9,Q9BRJ6;C9JQV0;H7C0T1;H7C2R9
Q96HJ9,C7orf55,UPF0562 protein C7orf55,3,,1,1,12.749,2.3735,0.0018895,30.1,4,Q96HJ9,Q96HJ9
P07357,C8A,Complement component C8 alpha chain,14,,14,14,65.163,72.095,0.0,30.1,150,P07357,P07357
P07358,C8B,Complement component C8 beta chain,19,,19,1,67.046,74.468,0.0,40.3,149,P07358,P07358
P07360,C8G,Complement component C8 gamma chain,9,,9,9,22.277,54.368,0.0,53.5,169,P07360;Q5SQ08,P07360;Q5SQ08
Q9H7E9,C8orf33,UPF0488 protein C8orf33,9,,9,9,24.992,32.86,0.0,43.2,87,Q9H7E9;Q9H7E9-2,Q9H7E9;Q9H7E9-2
Q8N0T1,C8orf59,Uncharacterized protein C8orf59,4,,4,4,11.456,2.5019,0.0014281,36.0,5,Q8N0T1;A0A087WWE7,Q8N0T1
H0YF29,C8orf82,UPF0598 protein C8orf82,10,,10,10,28.487,64.744,0.0,42.9,227,H0YF29;Q6P1X6;Q6P1X6-2;J3KNI2,H0YF29;Q6P1X6;Q6P1X6-2
P02748,C9,Complement component C9;Complement component C9a;Complement component C9b,25,,25,25,63.173,230.67,0.0,41.3,471,P02748;CON__Q3MHN2,P02748
Q5T280,C9orf114,Putative methyltransferase C9orf114,6,,6,6,42.008,37.537,0.0,21.3,51,Q5T280;A0A087WYA7;R4GNG4,Q5T280
Q9BUH6,C9orf142,Protein PAXX,18,,18,18,21.639,48.218,0.0,78.9,187,Q9BUH6;Q9BUH6-2,Q9BUH6
Q9BUW7,C9orf16,UPF0184 protein C9orf16,2,,2,2,9.0537,5.2559,0.0,30.1,9,Q9BUW7,Q9BUW7
Q8N4J0,C9orf41,UPF0586 protein C9orf41,5,,5,5,47.185,2.8263,0.00084941,14.9,8,Q8N4J0;Q5T8U9;Q5T8V1,Q8N4J0;Q5T8U9;Q5T8V1
Q5T6V5,C9orf64,UPF0553 protein C9orf64,15,,15,15,39.028,31.089,0.0,43.7,128,Q5T6V5;Q5T6V7;Q5T6V6,Q5T6V5
Q9NZ63,C9orf78,Uncharacterized protein C9orf78,11,,11,11,33.688,40.333,0.0,48.4,94,Q9NZ63;A0A087X2F5,Q9NZ63;A0A087X2F5
Q96LW7-2,C9orf89,Bcl10-interacting CARD protein,5,,5,5,20.625,4.6825,0.0,29.5,21,Q96LW7-2;Q96LW7,Q96LW7-2;Q96LW7
P00915,CA1,Carbonic anhydrase 1,16,,16,16,28.87,202.74,0.0,75.9,582,P00915;E5RHP7;E5RH81;E5RFE7;E5RIF9;E5RG43;E5RFL2;H0YBE2;E5RGU8;E5RII2;E5RJI8;E5RJF6;E5RG81;E5RHS7,P00915;E5RHP7;E5RH81;E5RFE7;E5RIF9;E5RG43;E5RFL2;H0YBE2
O43570,CA12,Carbonic anhydrase 12,1,,1,1,39.45,1.5357,0.0094739,4.2,0,O43570;B3KUB4;O43570-2,O43570;B3KUB4;O43570-2
P00918,CA2,Carbonic anhydrase 2,14,,14,14,29.246,82.16,0.0,65.0,255,P00918;E5RID5;E5RK37,P00918
P07451,CA3,Carbonic anhydrase 3,5,,5,5,29.557,8.0245,0.0,23.1,15,P07451;E5RHI4,P07451
P22748,CA4,Carbonic anhydrase 4,2,,2,2,35.032,3.0371,0.00061485,6.7,1,P22748;K7EKY5,P22748;K7EKY5
P35219,CA8,Carbonic anhydrase-related protein,3,,3,3,32.973,22.777,0.0,14.1,13,P35219,P35219
Q16790,CA9,Carbonic anhydrase 9,8,,8,8,49.697,16.513,0.0,23.5,34,Q16790;A0A087WYS4,Q16790;A0A087WYS4
Q9H8G2,CAAP1,Caspase activity and apoptosis inhibitor 1,4,,4,4,38.367,14.811,0.0,14.7,18,Q9H8G2;Q9H8G2-2,Q9H8G2;Q9H8G2-2
Q9Y376,CAB39,Calcium-binding protein 39,20,,20,17,39.869,56.36,0.0,65.1,212,Q9Y376;A0A087X0K1,Q9Y376;A0A087X0K1
Q9H9S4,CAB39L,Calcium-binding protein 39-like,6,,3,3,39.087,3.3782,0.00050232,16.9,4,Q9H9S4;Q5TAW7;B7ZBJ4;B7ZBJ5;B7ZBJ6,Q9H9S4;Q5TAW7;B7ZBJ4;B7ZBJ5
Q9Y6J0,CABIN1,Calcineurin-binding protein cabin-1,5,,5,5,246.35,4.5081,0.0,3.2,9,Q9Y6J0;A0A087WWW8;Q9Y6J0-2;A0A087WXL7;B5MEB3,Q9Y6J0;A0A087WWW8;Q9Y6J0-2
Q9BTV7,CABLES2,CDK5 and ABL1 enzyme substrate 2,1,,1,1,52.235,3.6652,0.00051014,2.5,2,Q9BTV7;H0Y5H2,Q9BTV7;H0Y5H2
O00555-5,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,2,,2,2,255.51,2.8359,0.0007286,1.3,35,O00555-5;O00555-6;O00555;K7EQ95;K7EKF7;A0A087WW63;O00555-7;O00555-3;O00555-2;O00555-4;O00555-8,O00555-5;O00555-6;O00555;K7EQ95;K7EKF7;A0A087WW63;O00555-7;O00555-3;O00555-2;O00555-4;O00555-8
P54289,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,17,,17,16,124.57,73.313,0.0,19.9,69,P54289;P54289-4;P54289-5;P54289-3;P54289-2;E7ERK3;H0Y715,P54289;P54289-4;P54289-5;P54289-3;P54289-2
Q9NY47,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2,8,,7,7,129.82,5.7622,0.0,8.8,6,Q9NY47;C9JE82;Q9NY47-2;C9JVC9;Q9NY47-4;Q9NY47-3;Q9NY47-5,Q9NY47;C9JE82;Q9NY47-2;C9JVC9;Q9NY47-4;Q9NY47-3;Q9NY47-5
Q8WUQ7,CACTIN,Cactin,8,,8,8,88.701,8.866,0.0,14.2,13,Q8WUQ7;Q8WUQ7-2;K7ENY9;K7EIU6;K7EMQ0;K7EQE3,Q8WUQ7;Q8WUQ7-2
Q86Y37,CACUL1,CDK2-associated and cullin domain-containing protein 1,7,,7,7,41.063,17.206,0.0,27.1,21,Q86Y37;Q86Y37-4;Q86Y37-2,Q86Y37;Q86Y37-4;Q86Y37-2
Q9HB71,CACYBP,Calcyclin-binding protein,26,,26,26,26.21,144.62,0.0,75.4,423,Q9HB71;Q9HB71-3;Q9HB71-2;B2ZWH1,Q9HB71;Q9HB71-3
P27708,CAD,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,100,,100,86,242.98,323.31,0.0,55.2,1767,P27708;F8VPD4;H7C3Z5;H7C2E4,P27708;F8VPD4
Q9BY67,CADM1,Cell adhesion molecule 1,11,,11,11,48.509,95.393,0.0,30.8,72,Q9BY67;A0A087X105;A0A087WZW4;A0A087X1W8;A0A0A0MTJ8;A0A087WZR6;X5DQS5;Q9BY67-5;Q9BY67-4;Q9BY67-3;A0A087X0T8;Q9BY67-2;F5H8J9;F5H125;H0YG94,Q9BY67;A0A087X105;A0A087WZW4;A0A087X1W8;A0A0A0MTJ8;A0A087WZR6;X5DQS5;Q9BY67-5;Q9BY67-4;Q9BY67-3;A0A087X0T8;Q9BY67-2
Q8N126,CADM3,Cell adhesion molecule 3,3,,3,3,43.299,7.2848,0.0,9.8,10,Q8N126;Q8N126-3;Q8N126-2;A0A0C4DG09,Q8N126;Q8N126-3;Q8N126-2;A0A0C4DG09
Q8NFZ8,CADM4,Cell adhesion molecule 4,8,,8,8,42.785,15.959,0.0,30.7,15,Q8NFZ8,Q8NFZ8
Q86UW7,CADPS2,Calcium-dependent secretion activator 2,10,,10,9,147.73,8.3809,0.0,10.0,7,Q86UW7;Q86UW7-2;C9IYE1;Q86UW7-3;F8W8P5;A0A087X1P3;H7BYR4;H0Y8B5;Q9ULU8-5,Q86UW7;Q86UW7-2;C9IYE1;Q86UW7-3;F8W8P5;A0A087X1P3;H7BYR4
P05937,CALB1,Calbindin,7,,6,6,30.025,10.949,0.0,31.4,8,P05937;P05937-2;E5RIZ8;E5RG14,P05937;P05937-2;E5RIZ8
P22676,CALB2,Calretinin,18,,18,17,31.54,87.574,0.0,73.8,160,P22676;H3BN14;A6NER6;H3BMN5,P22676;H3BN14;A6NER6
Q9P1Z2,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,5,,5,5,77.335,6.3022,0.0,8.2,11,Q9P1Z2;Q9P1Z2-2;Q9P1Z2-3;Q9P1Z2-4;F8VWP8;F8VPN1;F8VUB3;F8VZI3;F8W0X2;F8VRQ9;F8VXS2;F8VQE3,Q9P1Z2;Q9P1Z2-2;Q9P1Z2-3;Q9P1Z2-4
Q13137,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,2,,2,2,52.253,2.9939,0.00061275,7.6,5,Q13137;D6RJE7;D6RF70;Q13137-3;Q13137-4;I3L4E1;I3L493;D6RBI4;D6REB0;Q13137-5;Q13137-2,Q13137;D6RJE7;D6RF70;Q13137-3;Q13137-4;I3L4E1;I3L493;D6RBI4;D6REB0;Q13137-5;Q13137-2
Q05682,CALD1,Caldesmon,64,,1,1,93.23,2.6231,0.0013191,52.6,1,Q05682,Q05682
Q05682-4,CALD1,Caldesmon,66,,66,0,62.663,323.31,0.0,77.3,2519,Q05682-4;Q05682-2;Q05682-6;C9J813;C9JE79;F8WE61;REV__H0YH95,Q05682-4;Q05682-2;Q05682-6;C9J813
Q05682-5,CALD1,Caldesmon,64,,3,3,61.212,15.375,0.0,79.3,25,Q05682-5;Q05682-3;E9PGZ1;E7EX44,Q05682-5;Q05682-3;E9PGZ1;E7EX44
Q9HA72,CALHM2,Calcium homeostasis modulator protein 2,5,,5,5,36.174,5.5548,0.0,18.0,12,Q9HA72;Q9HA72-3;Q9HA72-2,Q9HA72;Q9HA72-3;Q9HA72-2
P62158,CALM1;CALM2;CALM3,Calmodulin,16,,16,14,16.837,323.31,0.0,91.3,1640,P62158;H0Y7A7;E7ETZ0;E7EMB3;Q96HY3;M0QZ52;G3V361;F8WBR5;G3V479;G3V226;C9J7T9;P02585,P62158;H0Y7A7;E7ETZ0;E7EMB3;Q96HY3;M0QZ52;G3V361
P27482,CALML3,Calmodulin-like protein 3,6,,4,4,16.891,6.906,0.0,45.6,18,P27482,P27482
Q9NZT1,CALML5,Calmodulin-like protein 5,12,,12,12,15.892,131.61,0.0,92.5,138,Q9NZT1,Q9NZT1
P27797,CALR,Calreticulin,36,,35,35,48.141,323.31,0.0,83.9,1635,P27797;K7EJB9;K7EL50,P27797;K7EJB9
O43852,CALU,Calumenin,26,,26,5,37.106,253.14,0.0,67.3,789,O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-9;O43852-11;O43852-13;O43852-14,O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-9
O43852-4,CALU,Calumenin,25,,4,4,38.078,1.8951,0.0050291,60.1,15,O43852-4;O43852-2;O43852-15;O43852-8;H0Y875;O43852-7;O43852-12,O43852-4;O43852-2;O43852-15;O43852-8;H0Y875
Q14012,CAMK1,Calcium/calmodulin-dependent protein kinase type 1,10,,6,3,41.337,9.0803,0.0,30.0,25,Q14012;H7C071,Q14012;H7C071
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,19,,19,15,42.913,79.103,0.0,60.3,164,Q8IU85;Q8IU85-2;A0A087WUR6,Q8IU85;Q8IU85-2;A0A087WUR6
Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,20,,20,14,56.369,114.93,0.0,48.1,381,Q13557;Q13557-8;D6R938;E9PBG7;E9PF82;Q13557-12;Q13557-10;Q13557-6;Q13557-11;Q13557-9;Q13557-5;Q13557-3;Q13557-4;H0Y9C2;H0Y9J2;Q9UQM7;Q9UQM7-2,Q13557;Q13557-8;D6R938;E9PBG7;E9PF82;Q13557-12;Q13557-10;Q13557-6;Q13557-11;Q13557-9;Q13557-5;Q13557-3;Q13557-4;H0Y9C2
Q13555,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,18,,13,11,62.608,46.408,0.0,45.0,120,Q13555;Q13555-2;A0A0A0MS52;A0A0A0MT11;Q13555-4;Q13555-8;Q13555-6;Q13555-5;Q5SWX3;Q13555-9;Q13555-10;Q13555-3;Q13555-7;Q8WU40;H0Y6G2;H7BXS4;E9PBE8;E7EQE4;E7ETC9;D6RHX9;D6RFJ0;E7ERS6;H7C394,Q13555;Q13555-2;A0A0A0MS52;A0A0A0MT11;Q13555-4;Q13555-8;Q13555-6;Q13555-5;Q5SWX3;Q13555-9;Q13555-10;Q13555-3;Q13555-7;Q8WU40;H0Y6G2
Q96RR4,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,5,,5,5,64.745,13.441,0.0,13.3,19,Q96RR4;Q96RR4-3;Q96RR4-6;Q96RR4-5;Q96RR4-2;Q96RR4-4;Q96RR4-7;F5GZ00,Q96RR4;Q96RR4-3;Q96RR4-6;Q96RR4-5;Q96RR4-2;Q96RR4-4;Q96RR4-7;F5GZ00
